[auto] roadmap=1000 candidates(filter=all)=594 already_done=204 todo=390 workers=10
[178/390] ok=True T2-RSI-7-35-65-short-SOL-2024-H2 sh=2.281 tr=128 elapsed=6.8s wall_avg=1s eta=0min pass=38
[179/390] ok=True T2-RSI-7-35-65-short-SOL-2025-H1 sh=-1.7961 tr=142 elapsed=6.7s wall_avg=1s eta=0min pass=38
[180/390] ok=True T2-RSI-7-35-65-short-SOL-2025-H2 sh=-2.8282 tr=134 elapsed=6.8s wall_avg=1s eta=0min pass=38
[181/390] ok=True T2-RSI-10-20-80-long-BTC-2024-H2 sh=1.5154 tr=16 elapsed=6.2s wall_avg=1s eta=0min pass=38
[182/390] ok=True T2-RSI-10-20-80-long-BTC-2025-H2 sh=-1.4951 tr=34 elapsed=6.2s wall_avg=1s eta=0min pass=38
[183/390] ok=True T2-RSI-10-20-80-long-ETH-2025-H2 sh=0.9379 tr=46 elapsed=6.0s wall_avg=1s eta=0min pass=38
[184/390] ok=True T2-RSI-10-20-80-long-BTC-2025-H1 sh=0.2228 tr=23 elapsed=6.3s wall_avg=1s eta=0min pass=38
[185/390] ok=True T2-RSI-10-20-80-long-ETH-2024-H2 sh=-0.1968 tr=29 elapsed=6.2s wall_avg=1s eta=0min pass=38
[186/390] ok=True T2-RSI-10-20-80-long-SOL-2024-H2 sh=0.9697 tr=37 elapsed=6.0s wall_avg=1s eta=0min pass=38
[187/390] ok=True T2-RSI-10-20-80-long-ETH-2025-H1 sh=-2.0765 tr=39 elapsed=6.1s wall_avg=1s eta=0min pass=38
