t,ts_signal,ts_exec_next_open,signal,regime_active,close_tm1,close_tm2,mu_now,sigma_now,mu_prev,sigma_prev,lower_now,lower_prev
1465,2025-03-07 01:00:00+00:00,2025-03-07 02:00:00+00:00,ENTER_LONG,True,2117.71,2202.2,2245.201333333333,43.33554482049222,2248.116,37.16373416831702,2180.1980161025945,2192.3703987475246
1479,2025-03-07 15:00:00+00:00,2025-03-07 16:00:00+00:00,EXIT,True,2221.65,2188.53,2205.887333333333,41.793363024395255,2208.2839999999997,44.59615712891266,2143.1972887967404,2141.3897643066307
1483,2025-03-07 19:00:00+00:00,2025-03-07 20:00:00+00:00,EXIT,True,2194.84,2162.31,2191.941,28.6938353832317,2194.366666666667,31.749521396217755,2148.9002469251523,2146.74238457234
1486,2025-03-07 22:00:00+00:00,2025-03-07 23:00:00+00:00,ENTER_LONG,True,2139.49,2157.51,2183.493,24.723288771251035,2187.4263333333324,26.71603070359732,2146.4080668431234,2147.3522872779363
1490,2025-03-08 02:00:00+00:00,2025-03-08 03:00:00+00:00,ENTER_LONG,True,2133.08,2152.19,2175.4280000000003,26.498290183833873,2177.6033333333335,25.59584983720777,2135.6805647242495,2139.209558577522
1501,2025-03-08 13:00:00+00:00,2025-03-08 14:00:00+00:00,EXIT,True,2168.59,2141.95,2162.7996666666663,26.452414947515756,2163.257,26.666307224660844,2123.1210442453926,2123.257539163009
1523,2025-03-09 11:00:00+00:00,2025-03-09 12:00:00+00:00,ENTER_LONG,True,2134.1,2165.79,2177.2619999999997,28.018346893895526,2177.7923333333333,27.338683543449676,2135.2344796591565,2136.7843080181588
1526,2025-03-09 14:00:00+00:00,2025-03-09 15:00:00+00:00,ENTER_LONG,True,2104.48,2141.81,2176.442666666667,29.81471738737243,2177.5559999999996,27.65187740461755,2131.720590585608,2136.0781838930734
1546,2025-03-10 10:00:00+00:00,2025-03-10 11:00:00+00:00,EXIT,True,2102.02,2062.1,2089.899,57.1419974187112,2092.698666666666,59.66894718546845,2004.186003871933,2003.1952458884634
1554,2025-03-10 18:00:00+00:00,2025-03-10 19:00:00+00:00,ENTER_LONG,True,1917.49,2005.29,2057.791333333333,45.79966198807828,2065.431666666667,40.57803889489431,1989.0918403512158,2004.5646083243255
1579,2025-03-11 19:00:00+00:00,2025-03-11 20:00:00+00:00,EXIT,True,1953.13,1904.91,1906.3223333333333,58.08938994821306,1912.0766666666668,69.80923483958904,1819.1882484110138,1807.3628144072832
1592,2025-03-12 08:00:00+00:00,2025-03-12 09:00:00+00:00,EXIT,True,1911.26,1873.11,1903.3550000000002,27.50612183375429,1901.6016666666667,28.60100861663605,1862.0958172493688,1858.7001537417127
1596,2025-03-12 12:00:00+00:00,2025-03-12 13:00:00+00:00,EXIT,True,1916.84,1900.33,1908.9296666666667,23.527318091009782,1908.155,23.636456975048826,1873.638689530152,1872.7003145374267
1599,2025-03-12 15:00:00+00:00,2025-03-12 16:00:00+00:00,ENTER_LONG,True,1860.8,1887.53,1908.3123333333335,25.291165214139294,1909.8689999999997,23.706421682742434,1870.3755855121246,1874.3093674758861
